observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
2/16/2017,48.16897679,54.16,60.16897679
2/15/2017,48.54071021,54.57,60.54071021
2/14/2017,47.81293984,54.96,59.81293984
2/13/2017,48.47145394,54.15,60.47145394
2/10/2017,47.31763952,55.2,59.31763952
2/9/2017,48.09015585,53.98,60.09015585
2/8/2017,47.41258754,54.42,59.41258754
2/7/2017,48.32045482,53.79,60.32045482
2/6/2017,49.23140206,55.02,61.23140206
2/3/2017,49.19227614,55.92,61.19227614
2/2/2017,48.88229486,55.94,60.88229486
2/1/2017,48.49687309,55.79,60.49687309
1/31/2017,48.4317796,55.25,60.4317796
1/30/2017,48.22559175,54.77,60.22559175
1/27/2017,49.44111003,54.8,61.44111003
1/26/2017,48.09897024,55.89,60.09897024
1/25/2017,48.51303271,54.34,60.51303271
1/24/2017,48.49199351,54.7,60.49199351
1/23/2017,48.18260921,54.8,60.18260921
1/20/2017,47.07880338,55.04,59.07880338
1/19/2017,47.47123131,53.18,59.47123131
1/18/2017,48.26994435,53.77,60.26994435
1/17/2017,48.09320667,54.68,60.09320667
1/13/2017,48.05541252,54.37,60.05541252
1/12/2017,47.32639619,54.51,59.32639619
1/11/2017,47.09539279,53.61,59.09539279
1/10/2017,47.58869328,53.2,59.58869328
1/9/2017,49.10151893,54.39,61.10151893
1/6/2017,48.61705934,55.9,60.61705934
1/5/2017,48.21185115,54.99,60.21185115
1/4/2017,48.22761125,54.57,60.22761125
1/3/2017,48.52346572,55.05,60.52346572
12/30/2016,48.63156711,54.96,60.63156711
12/29/2016,48.21463358,54.97,60.21463358
12/28/2016,47.18018415,54.95,59.18018415
12/23/2016,47.66869387,53.93,59.66869387
12/22/2016,46.59162552,54.04,58.59162552
12/21/2016,48.29561763,53.01,60.29561763
12/20/2016,47.1817757,54.56,59.1817757
12/19/2016,47.83655271,53.53,59.83655271
12/16/2016,45.59217036,54.15,57.59217036
12/15/2016,47.25781747,51.72,59.25781747
12/14/2016,47.14285379,53.15,59.14285379
12/13/2016,47.45370251,53.28,59.45370251
12/12/2016,45.93705652,53.99,57.93705652
12/9/2016,45.88629088,52.19,57.88629088
12/8/2016,45.53722719,51.6,57.53722719
12/7/2016,46.0628918,51.9,58.0628918
12/6/2016,47.1709832,52.31,59.1709832
12/5/2016,45.96075777,53.3,57.96075777
12/2/2016,46.07218336,52.35,58.07218336
12/1/2016,42.38078754,52.28,54.38078754
11/30/2016,39.34944054,47.95,51.34944054
11/29/2016,41.06600598,44.68,53.06600598
11/28/2016,40.74698341,46.64,52.74698341
11/25/2016,41.13301402,46.32,53.13301402
11/23/2016,40.65088138,46.54,52.65088138
11/22/2016,40.61749974,46.1,52.61749974
11/21/2016,39.07141335,45.96,51.07141335
11/18/2016,38.92371929,44.41,50.92371929
11/17/2016,39.487198,44.57,51.487198
11/16/2016,38.82632266,45.07,50.82632266
11/15/2016,36.80337787,44.15,48.80337787
11/14/2016,36.80236877,41.83,48.80236877
11/11/2016,38.53003948,41.61,50.53003948
11/10/2016,38.69954337,43.67,50.69954337
11/9/2016,38.26749192,43.88,50.26749192
11/8/2016,37.7933682,43.47,49.7933682
11/7/2016,37.7728418,42.83,49.7728418
11/4/2016,38.64629385,43.06,50.64629385
11/3/2016,39.16060496,43.84,51.16060496
11/2/2016,40.54477347,44.26,52.54477347
11/1/2016,40.20119666,45.77,52.20119666
10/31/2016,42.21357562,46.2,54.21357562
10/28/2016,43.37353515,47.78,55.37353515
10/27/2016,43.00335005,49.13,55.00335005
10/26/2016,43.53564377,48.98,55.53564377
10/25/2016,43.71047523,49.08,55.71047523
10/24/2016,43.86675023,49.8,55.86675023
10/21/2016,44.30208141,50.28,56.30208141
10/20/2016,45.7451956,50.42,57.7451956
10/19/2016,43.98117171,51.85,55.98117171
10/18/2016,43.29050643,49.81,55.29050643
10/17/2016,43.07367461,49.31,55.07367461
10/14/2016,42.96060886,48.87,54.96060886
10/13/2016,43.96422719,49.29,55.96422719
10/12/2016,44.11059834,49.53,56.11059834
10/11/2016,45.23766951,50.48,57.23766951
10/10/2016,44.30020965,51.54,56.30020965
10/7/2016,44.29701236,50.49,56.29701236
10/6/2016,43.74624542,50.14,55.74624542
10/5/2016,43.06052144,49.57,55.06052144
10/4/2016,42.8356099,48.81,54.8356099
10/3/2016,42.40016389,48.61,54.40016389
9/30/2016,42.52254055,48.24,54.52254055
9/29/2016,39.77302154,48.43,51.77302154
9/28/2016,39.50703802,45.49,51.50703802
9/27/2016,41.25522916,44.95,53.25522916
9/26/2016,41.348051,46.61,53.348051
9/23/2016,41.62168097,46.71,53.62168097
9/22/2016,40.47472205,47.21,52.47472205
9/21/2016,39.98095267,45.99,51.98095267
9/20/2016,40.58747796,45.24,52.58747796
9/19/2016,39.88261399,46.04,51.88261399
9/16/2016,40.13102685,45.26,52.13102685
9/15/2016,40.15750521,45.83,52.15750521
9/14/2016,40.79735443,45.65,52.79735443
9/13/2016,41.92838713,46.48,53.92838713
9/12/2016,42.4588658,47.82,54.4588658
9/9/2016,43.04528732,48.37,55.04528732
9/8/2016,41.2138999,49.23,53.2138999
9/7/2016,40.74742008,47,52.74742008
